grade;text
1;Czeski Senat uznał działania Rosji za ludobójstwo narodu ukraińskiego.
1;Rosja domaga się od Polski oficjalnych przeprosin za incydent z rosyjskim ambasadorem oblanym czerwoną substancją - podało MSZ Rosji.
1;Nie umiem opisać jak bardzo jestem podekscytowana nowym sezonem Stranger Things, czekałam na to ponad 2 lata a teraz zostało tylko kilkanaście dni, to się wydaje tak surrealistyczne!! To jest chyba najbardziej wyczekiwana przeze mnie premiera tego roku (+thor) #StrangerThings4
1;Widzew Łódź U-19 wygrywa z Jagiellonią Białystok 6:0 w spotkaniu Ligi Makroregionalnej! 
1;Wrzuciłem przedwczoraj na mój kanał na YT film. Ogólnie ma on jakieś niesamowicie dobre ratio łapek w górę do wyświetleń, ale przez te dwa dni nie pojawił się żaden komentarz i zastanawiałem się o co chodzi. MIAŁEM USTAWIONE, ŻE RĘCZNIE MUSZĘ AKCEPTOWAĆ KAŻDY KOMENTARZ XDDDDDDDD
1;Takefun ostatnio troche zastapil nitra z tymi powaznymi, i trafnymi wypowiedziami. Nitro trolluje bardziej ostatnio
1;Szczerze chuj z tym, że Gimper przegrał, chłop jest dosłownie nie do zdarcia. Większość to by padła po jednym młocie od Tromby, a chłop tankował go przez całe dwie rundy praktycznie
1;"Mona zaprezentowała się lepiej niż się spodziewałem. Fagata dobrze zawalczyła, ale z tym życzeniem ""chuja w dupę"" przesadziła."
1;7 dni bana za napisanie 'usiądź mi na twarzy' uważajcie na siebie panowie i panie
1;We wtorek 17 maja do Polski przybędzie prezydent Węgier Katalin Novak. To będzie pierwsza wizyta zagraniczna Pani prezydent.
1;Ukraińscy żołnierze odrzuciwszy wroga na froncie północno-wschodnim dotarli do granicy ukraińsko-rosyjskiej pod Charkowem.
1;Po 15 latach działalności Starbucks całkowicie wycofuje się z Rosji.
1;21-letni rosyjski żołnierz Wadim Sziszimarin uznany za winnego zastrzelenia nieuzbrojonego ukraińskiego cywila i skazany na karę dożywotniego pozbawienia wolności.
1;Ruszyła petycja o zastąpienie Amber Heard aktorką Blake Lively w filmie #Aquaman2.
1;Maja Staśko jest już chyba ostatnią osobą na planecie Ziemia, dla której opowieści Amber Heard są wiarygodne.
1;Pozdrawiam z dzielnicy China Town w Nowym Jorku. Sporo flag Tajwanu, choć też są oczywiście flagi Chin, ale w mniejszości
1;Jak to jest, ze gość odpala sobie live na twitch z irl, bierze karabin szturmowy, wisiada w auto, jedzie do marketu i zabija 13 przypadkowych osob?!
1;Włodarz konkurencyjnej federacji (Malik) przyznaje się na LIVE że oglądał FAME z nielegalnego źródła, kurde... Mocny strzał w kolano.
1;Jak wrażenia po fame MMA 14? Jak dla mnie gala super zorganizowana, walki oddały i była fajna atmosfera. Tylko szkoda że przegrały osoby którym kibicowałam 
1;W Kijowie rozpoczął się pierwszy proces rosyjskiego żołnierza. Wadim Szyszymarin jest oskarżony o śmiertelne postrzelenie 62-letniego nieuzbrojonego cywila w głowę. Grozi mu dożywocie. Fot. dzięki współpracy, AP Photo/Efrem Lukatsky/eastnews.pl
1;14.05.1969 w Melbourne ur. się Cate Blanchett australijska aktorka. Oskar i Lucinda, Elizabeth, Utalentowany pan Ripley, Człowiek który płakał, Dotyk przeznaczenia, Charlotte Gray, Trylogia Władca pierścieni, Aviator, Robin Hood, Blue Jasmine, Carol, Ocean’s 8 i in. #DKFmiClub
0;totalnie
0;Genzie jest mocarne
0;pokazuje Wam język
0;DetonatioN... wstyd…
0;Ile expa za to leci?
0;Wojska amerykańskie będą bronić Tajwanu, jeśli Chiny dokonają inwazji, mówi Biden
0;Niemożliwe.A ludzie tam wracają?Ambasady orwarte?Restauracje otwarte?Prezydent codziennie ogolony przebrany wypoczęty a obok ludobójstwa? Świetnie
0;Lepiej być walonym na łeb niż na hajs
0;Haha Uber mnie właśnie wyrzucił bo na profilowym nie zorientował się ze jestem Europejczykiem żałosne
0;ryba niezle gasi w tym kr
0;"Panie prezydencie @AndrzejDuda wszystkiego co najlepsze :)"
0;Mi też jedna fajna rzecz to to że wyglądał jak thor
0;Kurwa,powiem wam krótko stać was. Uwierzcie tylko kurwa w siebie,co to jest PBB? Wy gracie w Widzewie,nie bójcie się nas na trybunach bo my gramy z wami nie przeciwko. W niedzielę wychodzimy i wygrywamy. Koniec Kropka Julek nic się nie stało.
0;Kurwaaa ale bym chciał mieć znowu 70kg i taki ryj docięty Siłowe treningi i białko nie oddają
0;Miło, że pare widzów podeszło na schodkach zbić pionę 
0;Marcin jak Lee sinkiem ez
0;"Nawet komentatorzy mają bekę z ""Planu A B C"" "
0;Ta no Boxdel vs. Parke w klatce rzymskiej to chyba w kategorii kabaret xD
0;"P: ""A gdyby tak pomalować go całego na pomarańczowo?"" B: ""Piotrek, ale to przecież najlepszy ADC w Europie"""
0;Dziś na MSI stream Pokemonowy
0;Co dobre w taliyah? Wydaje się być totalnie op
0;Dlaczego,dlaczego Widzew nie ma takiego Angielskiego?
0;co prawda tylko na TT czytam reakcje ludzi i szkoda, ze tak późno niektórzy dopiero widza ze Stuart zawsze był do rany przyłóż porządnym gościem
0;Ukraina nie była sojusznikiem USA i USA nie gwarantowały jej suwerenności swoją armią, tak jak to ma miejsce w przypadku Tajwanu. Te sytuacje są różne.
0;Chiński MSZ ocenił, że wartość dostaw amerykańskiej broni dla Tajwanu przekroczyła już 70 miliardów dolarów.
